bike0,temp0,wind0,bike1,temp1,wind1,bike2,temp2,wind2,bike3,temp3,wind3,bike4,temp4,wind4,bike5,temp5,wind5,bike6,temp6,wind6,bike7,temp7,wind7,bike8,temp8,wind8,bike9,temp9,wind9,bike10,temp10,wind10,bike11,temp11,wind11,bike12,temp12,wind12,bike13,temp13,wind13,bike14,temp14,wind14,bike15,temp15,wind15,bike16,temp16,wind16,bike17,temp17,wind17,bike18,temp18,wind18,bike19,temp19,wind19,bike20,temp20,wind20,bike21,temp21,wind21,bike22,temp22,wind22,bike23,temp23,wind23
14.35,8.45,3.1,14.22,8.68,3.1,13.89,8.35,2.1,14.09,8.66,2.6,14.09,8.76,3.1,14,8.97,3.6,13.54,9.19,5.28,13.5,9.34,4.6,13.5,9.34,6.2,13.7,9.16,5.7,14.59,9.57,5.45,14.52,10.2,5.7,14.63,10.72,6.7,14.59,11.38,6.2,14.48,11.72,6.5,13.87,11.89,6.17,13.87,11.89,6.17,14.54,8.46,2.13,14.35,8.29,2.85,14.61,8.29,2.85,14.67,8.2,2.85,14.98,8.23,2.35,14.59,8.1,2.6,14.26,8.33,2.1
14.35,8.45,3.1,14.04,8.26,1.5,13.96,8.65,2.6,14.07,8.76,3.6,13.96,8.76,2.6,13.83,9.08,4.1,13.5,9.23,4.6,13.46,9.22,5.66,13.46,9.3,4.63,13.78,9.49,5.14,14.46,9.84,5.66,14.76,10.4,6.23,14.85,10.9,6.8,14.61,11.59,6.3,14.22,11.72,6.68,13.87,11.89,6.17,13.85,11.59,4.1,14.35,8.29,2.85,14.46,8.29,2.49,14.61,8.29,2.85,14.67,8.2,2.85,15.11,8.1,2.6,14.54,8.05,3.36,14.22,8.44,2.6
14.22,8.68,3.1,13.89,8.35,2.1,14.07,8.66,2.6,14.09,8.76,3.1,14,8.97,3.6,13.83,9.08,4.1,13.5,9.34,4.6,13.5,9.34,6.2,13.7,9.16,5.7,14.33,9.18,5.1,14.52,10.2,5.7,14.63,10.72,6.7,14.89,11.38,6.2,14.43,11.72,6.2,14.15,11.72,5.41,14.61,10,3.6,13.48,11.53,3.6,13.48,11.53,3.6,14.61,8.29,2.85,14.67,8.2,2.85,14.67,8.2,2.85,12.87,8.82,3.46,14.26,8.33,2.1,14.35,8.45,3.1
12.8,7.03,3.1,14.48,9.66,2.52,14.37,9.38,2.77,14.74,9.38,2.77,14.33,9.11,3.64,14.3,8.7,3.77,14.24,8.52,4.03,14.2,8.58,3.1,14.39,8.51,3.85,14.37,8.46,2.6,13.59,8.85,2.83,13.89,9,2.1,14.11,9.65,4.34,14,9.65,4.34,14.48,9.82,4.1,14.78,9.99,4.03,14.89,9.89,4.48,13.63,11.28,4.1,13.46,11,4.6,13.2,10.11,4.35,13.02,9.56,3.77,13.11,8.48,2.46,12.89,7.9,1.96,13,6.72,2.1
12.87,7.03,3.1,14.48,9.65,2.6,14.43,9.43,2.6,14.24,9.34,2.6,14.37,9,3.6,14.33,8.61,4.1,14.17,8.43,3.6,14.26,8.49,3.21,13.93,8.46,2.53,13.8,8.61,2.32,13.74,8.9,3.1,13.96,9.19,3.57,13.76,9.41,2.6,13.93,9.64,4.34,14.11,9.81,4.1,14.89,9.9,5.1,14.63,9.9,3.57,13.46,11,4.6,13.46,11,4.6,13.07,9.81,3.99,12.91,9.34,3.6,13.13,8.05,1.88,12.85,7.77,2.1,12.91,6.62,2.1
14.43,9.76,3.6,14.48,9.65,2.6,14.39,9.45,3.1,14.28,9.11,3.6,14.37,8.89,3.1,14.33,8.65,4.6,14.2,8.58,3.1,14.39,8.51,3.85,14.37,8.46,2.6,13.7,8.82,2.6,13.89,9,2.1,13.76,9.41,2.6,13.85,9.41,2.6,14.48,9.82,4.1,14.61,10,3.6,13.17,9.34,4.1,14.37,10,2.6,14.37,10,2.6,13.2,10.11,4.35,13.09,9.78,4.1,12.87,8.82,3.46,14.28,9.91,4.6,12.72,6.88,2.1,12.8,7.03,3.1
14.61,9.76,3.1,14,8.23,5.1,13.74,8.28,3.67,13.63,8.35,3.92,13.65,8.25,4.1,13.43,7.69,3.9,13.35,7.4,4.24,13.41,6.62,2.6,13.67,6.73,3.6,13.74,7.5,3.68,14.17,7.49,2.93,14.11,8.41,3.85,14.02,9.41,2.1,14.02,9.41,2.1,13.35,9.36,4.07,13.41,9.1,3.67,13.65,9.09,4.52,14.8,10,3.1,14.63,9.8,3.6,14.8,9.8,3.1,14.54,9.72,2.59,14.2,9.82,4.1,14.28,9.67,3.23,14.35,9.76,3.6
14.37,9.65,2.1,13.93,8.25,3.6,13.57,8.35,3.84,13.63,8.35,3.96,13.61,8.12,5.1,13.26,7.44,3.6,13.41,7.44,4.1,13.41,6.62,2.6,13.48,6.99,2.2,14.17,7.49,2.93,14.24,7.99,2.82,13.91,9.11,5.07,14.17,9.51,4.6,14.91,10.1,5.2,13.17,9.34,4.1,13.39,9.09,4.1,13.65,9,4.6,14.63,9.8,3.6,14.61,9.8,2.32,14.63,9.8,2.99,14.43,9.91,4.6,14.26,9.58,2.84,14.43,9.76,2.6,14.48,9.76,4.6
13.74,8.38,4.26,13.91,4.06,2.48,13.65,8.35,3.84,13.65,8.25,4.1,13.65,8,4.6,13.3,7.32,4.6,13.41,6.62,2.6,13.8,6.8,3.6,13.52,7.53,4.1,14.17,7.49,2.93,14.11,8.41,3.85,14.17,9.51,4.6,14.5,9.91,4.1,14.54,10.02,5.14,14.54,10.02,5.14,15.57,9.93,6.13,13.65,9,4.6,13.65,9,4.6,14.67,9.8,3.1,14.54,9.72,2.59,14.28,9.91,4.6,14.09,8.58,3.97,14.35,9.76,3.6,14.43,9.76,3.6
13.78,8.43,4.6,14,4.19,2.1,13.98,3.94,2.32,14,3.67,2.4,14,3.76,2.34,14.04,3.4,2.6,14,3.18,2.6,14.24,3.55,2.1,14.57,3.21,2.6,13.07,3.65,3.1,11.33,3.67,3.37,11.72,4.51,3.4,14.46,10.15,5.1,14.54,10.02,5.14,15.26,9.92,4.63,15.67,9.92,5.63,15.8,9.74,5.1,13.22,8.91,3.17,13.41,8.91,4.1,12.96,8.6,3.22,13.57,8.58,4.21,14,8.58,3.72,13.67,8.43,4.15,13.39,8.43,4.1
